date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,195,Call,2.5,2.78,0.1595,0.4315,0.0462,-0.0716,0.2095,0.0616
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,195,Put,4.25,4.5,0.158,-0.589,0.0499,-0.0457,0.2073,-0.0625
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,200,Call,1.02,1.1,0.157,0.2241,0.0357,-0.0509,0.1595,0.0322
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,200,Put,7.5,8.25,0.1515,-0.8277,0.0418,-0.024,0.1381,-0.056
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,205,Call,0.32,0.37,0.1806,0.1257,0.0214,-0.039,0.1102,0.0181
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,205,Put,12,13.2,0.1806,-0.922,0.0258,-0.0146,0.0786,-0.0392
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,210,Call,0.12,0.15,0.1667,0.0384,0.0093,-0.0143,0.0445,0.0055
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,210,Put,16.55,18.1,0.1667,-1,0,0,0,0
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,215,Call,0.05,0.08,0.1821,0.0186,0.0047,-0.0084,0.0243,0.0027
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,215,Put,21.55,23.1,0.1821,-1,0,0,0,0
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,220,Call,0.02,0.06,0.2015,0.011,0.0027,-0.0058,0.0155,0.0016
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,220,Put,26.6,28.1,0.2015,-1,0,0,0,0
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,225,Call,0.01,0.05,0.2381,0.0116,0.0024,-0.0072,0.0162,0.0016
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,225,Put,31.55,33.05,0.2381,-1,0,0,0,0
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-26 00:00:00 +0000 UTC,230,Call,0.02,0.04,0.2516,0.0069,0.0014,-0.0048,0.0103,0.001
